id,title,price,date,place,link
"10139016","Хүннү 1-р ээлжинд 4 өрөө 117.67 мкв байр","875 сая ₮","2 цагийн өмнө","УБ — Хан-Уул, Хүннү","https://www.unegui.mn/adv/10139016_khunnu-1-r-eelzhind-117-67mkv-4-oroo/"
"10145507","Улаанбаатар их дэлгүүр зүүн талд century business apartment 243мк penthouse","2.68 Тэрбум ₮","Өнөөдөр","УБ — Сүхбаатар, 220 мянгат","https://www.unegui.mn/adv/10145507_ulaanbaatar-ikh-delguur-zuun-tald-century-business-apartment-243mk-penthouse/"
"9390392","Хүннү 2222, 1-р ээлжид 4 өрөө 117.83 мкв байр","718.76 сая ₮ 770 сая ₮","Өнөөдөр","УБ — Хан-Уул, Хүннү","https://www.unegui.mn/adv/9390392_khunnu-2222-1-r-eelzhind-4-oroo-117-67m2-bair-khudaldana/"
"10116335","Бзд 26 хороо true-l хотхонд 90.2м2 4 өрөө орон сууц","500 сая ₮","Өнөөдөр","УБ — Баянзүрх, Баянзүрх, Хороо 26","https://www.unegui.mn/adv/10116335_bzd-26-khoroo-true-l-khotkhond-90-2m2-4-oroo-oron-suuts-khudaldana/"
"9821144","River garden 1, 4 өрөө | 180.3 мкв","1.48 Тэрбум ₮","Өнөөдөр","УБ — Хан-Уул, Хан-Уул, Хороо 18","https://www.unegui.mn/adv/9821144_river-garden-1-4-oroo-180-3m2-khudaldana/"
"9706500","River plaza 5 өрөө 213мк орон сууц","2 Тэрбум ₮","Өнөөдөр","УБ — Хан-Уул, Хан-Уул, Хороо 17","https://www.unegui.mn/adv/9706500_river-plaza-213m2-5-oroo-tansag-zeregleliin-oron-suuts-khudaldana/"
"10137260","Нисэхэд 2 өрөө байр 52м2","156 сая ₮","Өнөөдөр","УБ — Хан-Уул, Нисэх","https://www.unegui.mn/adv/10137260_nisekhed-2-oroo-bair-khudaldana/"
"10130021","Cбд 11-р хороолол 7-р байр 2 өрөө 60мкв","230 сая ₮","Өнөөдөр","УБ — Сүхбаатар, 11-р хороолол","https://www.unegui.mn/adv/10130021_cbd-11-r-khoroolol-7-r-bair-2-oroo-60mkv/"
"10144818","Баянбүрд ресидэнс C блокт 2 өрөө 65.21 мкв","235 сая ₮","Өчигдөр","УБ — Чингэлтэй, Баянбүрд","https://www.unegui.mn/adv/10144818_baianburd-residens-s-blok-shine-2-oroo-zarna/"
"10121947","Belmonte 1-т 115.47 мкв 5+ өрөө","580 сая ₮","Өчигдөр","УБ — Хан-Уул, Яармаг","https://www.unegui.mn/adv/10121947_belmonte-1-deer-7-s-deesh-davkhar/"
"10140104","Sky garden 379мк 6 өрөө penthouse","4.93 Тэрбум ₮","Өчигдөр","УБ — Хан-Уул, River Garden","https://www.unegui.mn/adv/10140104_sky-garden-379mk-6-oroo-penthouse-khudaldana/"
"10018992","ХУД, Sky garden-д 7 өрөө 362.61 мкв","4.53 Тэрбум ₮","Өчигдөр","УБ — Хан-Уул, Хан-Уул, Хороо 17","https://www.unegui.mn/adv/10018992_sky-garden-7oroo-khudaldana/"
"10144319","Hunnu plus 5 өрөө","1.62 Тэрбум ₮","1 өдрийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 18","https://www.unegui.mn/adv/10144319_hunnu-plus-5-oroo/"
"10093473","ХУД, 8-р хороонд дуплекс 4 өрөө 93 мкв","353.4 сая ₮","2 өдрийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 8","https://www.unegui.mn/adv/10093473_93-m2-dupleks-bair-zarna/"
"9684327","ХУД, River plaza-д 213 мкв 5 өрөө","2 Тэрбум ₮","2 өдрийн өмнө","УБ — Хан-Уул, Bella Vista","https://www.unegui.mn/adv/9684327_river-plaza-213mk-5-oroo-tansag-zeregleliin-oron-suuts-khudaldana/"
"10096225","Хүннү 2222 1-р ээлжинд 4 өрөө 117.67 мкв байр","882.52 сая ₮","2 өдрийн өмнө","УБ — Хан-Уул, Хүннү","https://www.unegui.mn/adv/10096225_khunnu2222-1-r-eelzhind-tokhilog-4-oroo-oron-suuts-khudaldana/"
"9885498","Ic town-д 44.1 мкв 1 өрөө","145.53 сая ₮","2 өдрийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 8","https://www.unegui.mn/adv/9885498_nuuzh-orokhod-belen/"
"10120217","Бзд 2 өрөө орон сууц 66.01м2","297 сая ₮","Өнөөдөр","УБ — Баянзүрх, Баянзүрх, Хороо 22","https://www.unegui.mn/adv/10120217_barag-3-oroo-oron-suuts/"
"10144999","Төв аймаг батсүмбэр сум 2 өрөө байр 54мкв","135 сая ₮","Өнөөдөр","Төв, Төв","https://www.unegui.mn/adv/10144999_tov-aimag-batsumber-sum-2-oroo-bair-zarna/"
"10047658","Схд москва апартмент 3 өрөө 78.49мкв байр","327 сая ₮","Өнөөдөр","УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 22","https://www.unegui.mn/adv/10047658_moskva-apartment-3-oroo-bair-khudaldana/"
"10119387","Japan town c4 дээр 6 өрөө 277.8мкв орон сууц","2.92 Тэрбум ₮","Өчигдөр","УБ — Хан-Уул, Japan town","https://www.unegui.mn/adv/10119387_japantown-y-c4-deer-278mkv-6-oroo-oron-suuts-khudaldana/"
"10081301","Mandala garden hothond 4 uruu bair 106m2","455.8 сая ₮","Өчигдөр","УБ — Хан-Уул, Яармаг","https://www.unegui.mn/adv/10081301_mandala-garden-hothond-bair-zarna/"
"9881396","Ss garden хотхонд penthouse 482м2 7өрөө","6.8 Тэрбум ₮ 7.2 Тэрбум ₮","Өчигдөр","УБ — Хан-Уул, Хан-Уул, Хороо 18","https://www.unegui.mn/adv/9881396_ssgarden-khotkhond-tansag-zeregleliin-house-penthouse-zarna/"
"10119386","Japan town c4 6 өрөө 277.8мкв байр","2.92 Тэрбум ₮","Өчигдөр","УБ — Хан-Уул, Хан-Уул, Хороо 18","https://www.unegui.mn/adv/10119386_japan-town-c4-6-oroo-bair-zarna/"
"10119458","Гэрлүг витад 5 өрөө байр","1.07 Тэрбум ₮","Өчигдөр","УБ — Хан-Уул, Хан-Уул, Хороо 18","https://www.unegui.mn/adv/10119458_gerlug-vitad-5-oroo-bair-zarna/"
"10105633","Худ 3-р хороо таван богдын хойно хос даль хотхонд 1 өрөө 28 мкв байр","155 сая ₮","Өчигдөр","УБ — Хан-Уул, 19-р хороолол","https://www.unegui.mn/adv/10105633_khud-3-khoroo-tavan-bogdyn-khoino-khos-dal-khotkhond-1-oroo-28-mk/"
"10144481","Хүннү плас 5 өрөө 161.64мкв байр","1.62 Тэрбум ₮","Өчигдөр","УБ — Хан-Уул, Хүннү","https://www.unegui.mn/adv/10144481_khunnu-plas-5-oroo-bair/"
"10113999","Да хүрээ захын дэргэд 1 өрөө 23 м2","77 сая ₮","2 өдрийн өмнө","УБ — Баянзүрх, Да хүрээ","https://www.unegui.mn/adv/10113999_1-oroo-bair-zarna/"
"9913632","Худ solaris plus residence 3 өрөө 83.51мк орон сууц","585 сая ₮","2 өдрийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 15","https://www.unegui.mn/adv/9913632_solaris-plus-residence-khud-iin-une-tsentei-bused-bairlakh-shine-3-oroo-oron/"
"10144199","Аманхуур 1 хотхонд 95.3мкв 5 өрөө","347 сая ₮","2 өдрийн өмнө","УБ — Баянзүрх, 14-р хороолол","https://www.unegui.mn/adv/10144199_ashigtai-bairlalttai-bair/"
"9750431","Tokyo town хотхонд 1-р ээлж, 195.7 мкв 7 өрөө орон сууц","1.35 Тэрбум ₮","2 өдрийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 18","https://www.unegui.mn/adv/9750431_tokyo-town-khotkhond-1-r-eelzh-195-7-mkv-7-oroo-oron-suuts-khudaldana/"
"9729760","River garden time square хотхоны голд river plaza-д 213мкв 5 өрөө байр","2 Тэрбум ₮","3 өдрийн өмнө","УБ — Хан-Уул, River Garden","https://www.unegui.mn/adv/9729760_river-garden-time-square-khotkhony-gold-river-plaza-d-213mkv-5-oroo/"
"10107459","River garden-1 хотхонд 6 өрөө 275мкв байр","2.48 Тэрбум ₮","3 өдрийн өмнө","УБ — Хан-Уул, River Garden","https://www.unegui.mn/adv/10107459_river-garden-1-khotkhond-275m-kv-6-oroo-khudaldana/"
"10121527","Арга билиг хотхонд 68.85м2 3 өрөө","365 сая ₮","5 өдрийн өмнө","УБ — Сүхбаатар, Дөлгөөн нуур","https://www.unegui.mn/adv/10121527_arga-bilig-khotkhond-68-85m2-3-oroo/"
"10142179","Гэгээнтэн апартмент 94 мкв 3 өрөө","620 сая ₮","5 өдрийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 18","https://www.unegui.mn/adv/10142179_gegeenten-apartment-94-mkv-3-oroo/"
"10118472","Бзд, 48-р сургуулийн хажууд 3 өрөө 76 мкв","290 сая ₮ 350 сая ₮","5 өдрийн өмнө","УБ — Баянзүрх, Баянзүрх, Хороо 1","https://www.unegui.mn/adv/10118472_48-r-surguulyn-khazhuud-3-oroo-bair-zarna/"
"10141901","Бзд харуул алтай хотхон 2 өрөө 55мкв байр","165 сая ₮","5 өдрийн өмнө","УБ — Баянзүрх, Баянзүрх, Хороо 8","https://www.unegui.mn/adv/10141901_bzd-kharuul-altai-khotkhon-2-oroo-55mkv-bair/"
"10141631","5 шард тавилгатай 1 өрөө байр 33м2","93 сая ₮","6 өдрийн өмнө","УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 38","https://www.unegui.mn/adv/10141631_5-shard-1-oroo-bair-zarna/"
"10115778","King tower-д 205,1 мкв 5 өрөө","748.62 сая ₮","6 өдрийн өмнө","УБ — Хан-Уул, King Tower","https://www.unegui.mn/adv/10115778_king-tower-d-205-1m2-5-n-oroo/"
